Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Votes,Labels,Labels,Description,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Cloners),Attachment,Custom field (Account),Custom field (Business Value),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Iteration),Custom field (Raised During),Custom field (Rank),Sprint,Custom field (Story Points),Custom field (T-sizing),Custom field (Team),Custom field (Test Sessions),Custom field (Testing Status),Custom field ([CHART] Date of First Response),Comment
SG - HL - Selenium - Edit details,SGP-7213,25760,24905,Sub-task,New,SGP,Singapore,software,markvanderploeg,,,Minor,,yuying,Yanping,Yanping,29/Aug/16 3:02 PM,29/Aug/16 3:35 PM,30/Aug/16 2:02 PM,,,0,,,https://woodpecker.atlassian.net/wiki/display/QA/2.+Edit+Details,Yanping,,,21600,21600,,0%,21600,21600,,,,,,,,,,,,,1|i00cmz:,Sprint 6.7 - Team 1,,,,,Not started,,
SG - HL - Selenium - Form fill,SGP-7212,25759,24905,Sub-task,New,SGP,Singapore,software,markvanderploeg,,,Minor,,Zhimin,Yanping,Yanping,29/Aug/16 3:02 PM,29/Aug/16 3:35 PM,30/Aug/16 2:02 PM,,,0,,,https://woodpecker.atlassian.net/wiki/display/QA/1.+Form+fill,Yanping,,,14400,14400,,0%,14400,14400,,,,,,,,,,,,,1|i00cmr:,Sprint 6.7 - Team 1,,,,,Not started,,
HTML-MY-Home Loan - Check and Adjust Account Page,SGP-7211,25758,25704,Sub-task,New,SGP,Singapore,software,markvanderploeg,,,Minor,,qunying,qunying,qunying,29/Aug/16 2:55 PM,29/Aug/16 3:14 PM,30/Aug/16 2:02 PM,,,0,HTML,,"Refer to https://woodpecker.atlassian.net/wiki/display/MY/Home+Loans+Overview+and+Setup:
 !screenshot-1.png|thumbnail! ",qunying,,,7200,7200,,0%,7200,7200,,,SGP-7210,,,,,,,,,,1|i00cmj:,Sprint 6.7 - Team 1,,,,,Not started,,
HTML-MY-Home Loan Two Email Templates,SGP-7210,25757,25704,Sub-task,On Hold,SGP,Singapore,software,markvanderploeg,,,Minor,,qunying,qunying,qunying,29/Aug/16 2:54 PM,30/Aug/16 11:53 AM,30/Aug/16 2:02 PM,,,0,HTML,,"Refer to https://woodpecker.atlassian.net/wiki/display/MY/Home+Loans+Overview+and+Setup:
 !screenshot-1.png|thumbnail! ",qunying,,,3600,3600,,0%,3600,3600,,,SGP-7209,,,,,,,,,,1|i00cmb:,Sprint 6.7 - Team 1,,,,,Not started,,
HTML-MY-Home Loan prepopulated page [mobile + desktop],SGP-7209,25756,25704,Sub-task,On Hold,SGP,Singapore,software,markvanderploeg,,,Minor,,qunying,qunying,qunying,29/Aug/16 2:53 PM,30/Aug/16 11:52 AM,30/Aug/16 2:02 PM,,,0,HTML,,"Refer to https://woodpecker.atlassian.net/wiki/display/MY/Home+Loans+Overview+and+Setup:
 !screenshot-1.png|thumbnail! ",qunying,,,14400,14400,,0%,14400,14400,,,SGP-7171,,,,,,,,,,1|i00cm3:,Sprint 6.7 - Team 1,,,,,Not started,,
HTML-MY-Home loan Blog Widget,SGP-7208,25755,25704,Sub-task,New,SGP,Singapore,software,markvanderploeg,,,Minor,,qunying,qunying,qunying,29/Aug/16 2:53 PM,29/Aug/16 3:09 PM,30/Aug/16 2:02 PM,,,0,HTML,,"Refer to https://woodpecker.atlassian.net/wiki/display/MY/Home+Loans+Overview+and+Setup:
 !screenshot-1.png|thumbnail! 
1.home loan insurance button
2.float bear",qunying,,,7200,7200,,0%,7200,7200,,,SGP-7174,,,,,,,,,,1|i00clv:,Sprint 6.7 - Team 1,,,,,Not started,,
HTML-MY-Home Loan compare page [desktop],SGP-7207,25754,25704,Sub-task,New,SGP,Singapore,software,markvanderploeg,,,Minor,,qunying,qunying,qunying,29/Aug/16 2:50 PM,29/Aug/16 3:05 PM,30/Aug/16 2:02 PM,,,0,HTML,,"Refer to https://woodpecker.atlassian.net/wiki/display/MY/Home+Loans+Overview+and+Setup:
 !screenshot-1.png|thumbnail! ",qunying,,,10800,10800,,0%,10800,10800,,,SGP-7170,,,,,,,,,,1|i00cln:,Sprint 6.7 - Team 1,,,,,Not started,,
HTML-MY-Home Loan quote page [mobile],SGP-7206,25753,25704,Sub-task,New,SGP,Singapore,software,markvanderploeg,,,Minor,,qunying,qunying,qunying,29/Aug/16 2:47 PM,29/Aug/16 3:12 PM,30/Aug/16 2:02 PM,,,0,HTML,,"Refer to https://woodpecker.atlassian.net/wiki/display/MY/Home+Loans+Overview+and+Setup:
 !screenshot-1.png|thumbnail! ",qunying,,,14400,14400,,0%,14400,14400,,,SGP-7168,,,,,,,,,,1|i00clf:,Sprint 6.7 - Team 1,,,,,Not started,,
HTML-MY- Select All Text for Textinput when focus - form fill + edit detail + filter panel,SGP-7205,25752,25704,Sub-task,New,SGP,Singapore,software,markvanderploeg,,,Minor,,qunying,qunying,qunying,29/Aug/16 2:46 PM,29/Aug/16 3:09 PM,30/Aug/16 2:02 PM,,,0,HTML,,"Refer to https://woodpecker.atlassian.net/wiki/display/MY/Home+Loans+Overview+and+Setup:
 !screenshot-1.png|thumbnail! ",qunying,,,7200,7200,,0%,7200,7200,,,SGP-7163,,,,,,,,,,1|i00cl7:,Sprint 6.7 - Team 1,,,,,Not started,,
SG - HL - Selenium - Quotes page,SGP-7203,25750,25748,Sub-task,New,SGP,Singapore,software,markvanderploeg,,,Minor,,,Yanping,Yanping,29/Aug/16 2:17 PM,29/Aug/16 2:17 PM,30/Aug/16 2:02 PM,,,0,,,"* PageObject
* No need Test steps",Yanping,,,64800,64800,,0%,64800,64800,,,,,,,,,,,,,1|i00ckr:,Sprint 6.7 - Team 1,,,,,Not started,,
SG - HL - FE - Quotes page,SGP-7201,25748,,Task,New,SGP,Singapore,software,markvanderploeg,,,Minor,,,Yanping,Yanping,29/Aug/16 1:50 PM,30/Aug/16 10:19 AM,30/Aug/16 1:50 PM,,,0,H-Loans,,,Yanping,,,360000,360000,,0%,720000,720000,,,,,,,,,,,,,1|hzzhwn:ixy8zhmij6nkjzyzmbb,Sprint 6.7 - Team 1,100.0,,,,Not started,,
SG - HL - FE - Quotes page (Mobile),SGP-7200,25747,25748,Sub-task,New,SGP,Singapore,software,markvanderploeg,,,Minor,,,Yanping,Yanping,29/Aug/16 1:47 PM,29/Aug/16 2:10 PM,30/Aug/16 2:02 PM,,,0,,,,Yanping,,,46800,46800,,0%,46800,46800,,,,,,,,,,,,,1|i00ckb:,Sprint 6.7 - Team 1,,,,,Not started,,
SG - HL - FE - Quotes page - List view (Desk),SGP-7199,25746,25748,Sub-task,New,SGP,Singapore,software,markvanderploeg,,,Major,,,Yanping,Yanping,29/Aug/16 11:58 AM,29/Aug/16 2:10 PM,30/Aug/16 2:02 PM,,,0,,,"* Desk - 2 browsers
* Labels
* Functions
* Coverages",Yanping,,,57600,57600,,0%,57600,57600,,,,,,,,,,,,,1|i00ck3:,Sprint 6.7 - Team 1,,,,,Not started,,
SG - HL - FE - Quotes page - Grid view,SGP-7198,25745,25748,Sub-task,New,SGP,Singapore,software,markvanderploeg,,,Minor,,,Yanping,Yanping,29/Aug/16 11:54 AM,29/Aug/16 2:09 PM,30/Aug/16 2:02 PM,,,0,,,"* Desk - 2 browsers
* Labels
* Functions
* Coverages",Yanping,,,72000,72000,,0%,72000,72000,,,,,,,,,,,,,1|i00cjv:,Sprint 6.7 - Team 1,,,,,Not started,,
SG - HL - Filter + Sorting,SGP-7190,25737,25748,Sub-task,New,SGP,Singapore,software,markvanderploeg,,,Minor,,,Yanping,Yanping,29/Aug/16 11:43 AM,29/Aug/16 2:09 PM,30/Aug/16 2:02 PM,,,0,,,"* Desk
* Mobile
* Labels
* Function",Yanping,,,61200,61200,,0%,61200,61200,,,,,,,,,,,,,1|i00ci3:,Sprint 6.7 - Team 1,,,,,Not started,,
HTML-MY-Home loan Blog - Super Bear + Insurance Buttons [mobile + desktop],SGP-7174,25721,25704,Sub-task,On Hold,SGP,Singapore,software,markvanderploeg,,,Minor,,qunying,qunying,qunying,29/Aug/16 10:37 AM,30/Aug/16 11:52 AM,30/Aug/16 2:02 PM,,,0,HTML,,"Refer to https://woodpecker.atlassian.net/wiki/display/MY/Home+Loans+Overview+and+Setup:
 !screenshot-1.png|thumbnail! 
1.home loan insurance button
2.float bear",qunying,,,14400,14400,,0%,14400,14400,,,,,,,,,,,,,1|i00cej:,Sprint 6.7 - Team 1,,,,,Not started,,
HTML-MY-Home loan (CPL Form) white lable check-out [mobile + desktop],SGP-7172,25719,25704,Sub-task,New,SGP,Singapore,software,markvanderploeg,,,Minor,,qunying,qunying,qunying,29/Aug/16 10:34 AM,29/Aug/16 3:07 PM,30/Aug/16 2:02 PM,,,0,HTML,,"Refer to https://woodpecker.atlassian.net/wiki/display/MY/Home+Loans+Overview+and+Setup:
 !screenshot-1.png|thumbnail! ",qunying,,,10800,10800,,0%,10800,10800,,,,,,,,,,,,,1|i00ceb:,Sprint 6.7 - Team 1,,,,,Not started,,
HTML-MY-Home Loan landing page [mobile + desktop],SGP-7171,25718,25704,Sub-task,On Hold,SGP,Singapore,software,markvanderploeg,,,Minor,,qunying,qunying,qunying,29/Aug/16 10:33 AM,30/Aug/16 11:52 AM,30/Aug/16 2:02 PM,,,0,HTML,,"Refer to https://woodpecker.atlassian.net/wiki/display/MY/Home+Loans+Overview+and+Setup:
 !screenshot-1.png|thumbnail! ",qunying,,,14400,14400,,0%,14400,14400,,,,,,,,,,,,,1|i00ce3:,Sprint 6.7 - Team 1,,,,,Not started,,
HTML-MY-Home Loan compare page [mobile],SGP-7170,25717,25704,Sub-task,New,SGP,Singapore,software,markvanderploeg,,,Minor,,qunying,qunying,qunying,29/Aug/16 10:32 AM,29/Aug/16 3:05 PM,30/Aug/16 2:02 PM,,,0,HTML,,"Refer to https://woodpecker.atlassian.net/wiki/display/MY/Home+Loans+Overview+and+Setup:
 !screenshot-1.png|thumbnail! ",qunying,,,10800,10800,,0%,10800,10800,,,,,,,,,,,,,1|i00cdv:,Sprint 6.7 - Team 1,,,,,Not started,,
HTML-MY-Home Loan detail page [mobile + desktop],SGP-7169,25716,25704,Sub-task,New,SGP,Singapore,software,markvanderploeg,,,Minor,,qunying,qunying,qunying,29/Aug/16 10:31 AM,29/Aug/16 3:03 PM,30/Aug/16 2:02 PM,,,0,HTML,,"Refer to https://woodpecker.atlassian.net/wiki/display/MY/Home+Loans+Overview+and+Setup:
 !screenshot-1.png|thumbnail! ",qunying,,,14400,14400,,0%,14400,14400,,,,,,,,,,,,,1|i00cdn:,Sprint 6.7 - Team 1,,,,,Not started,,
HTML-MY-Home Loan quote page - list view + grid view [desktop],SGP-7168,25715,25704,Sub-task,New,SGP,Singapore,software,markvanderploeg,,,Minor,,qunying,qunying,qunying,29/Aug/16 10:30 AM,29/Aug/16 3:11 PM,30/Aug/16 2:02 PM,,,0,,,"Refer to https://woodpecker.atlassian.net/wiki/display/MY/Home+Loans+Overview+and+Setup:
 !screenshot-1.png|thumbnail! ",qunying,,,28800,28800,,0%,28800,28800,,,,,,,,,,,,,1|i00cdf:,Sprint 6.7 - Team 1,,,,,Not started,,
HTML-MY-Home Loan checkout promptbox [mobile + desktop],SGP-7167,25714,25704,Sub-task,New,SGP,Singapore,software,markvanderploeg,,,Minor,,qunying,qunying,qunying,29/Aug/16 10:29 AM,29/Aug/16 2:59 PM,30/Aug/16 2:02 PM,,,0,,,"Refer to https://woodpecker.atlassian.net/wiki/display/MY/Home+Loans+Overview+and+Setup:
 !screenshot-1.png|thumbnail! ",qunying,,,18000,18000,,0%,18000,18000,,,,,,,,,,,,,1|i00cd7:,Sprint 6.7 - Team 1,,,,,Not started,,
